content_id,title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9.16678E+18,Google CDN Beta is here... and it's already one of the fastest CDNs out there!,MacOS Sierra Preview,"PostgreSQL Bloat: origins, monitoring and managing",Aligning text smartly in CSS,NES Classic Edition Coming This November,How To Avoid Equidistant HSV Colors
-9.1616E+18,Críticas de design: dizendo as coisas que precisam ser ditas,What exactly is a design culture? ,"contentId
6206342468637502921    Como contar histórias para marcas - Podcast A ...
6206342468637502921    Como contar histórias para marcas - Podcast A ...
Name: title, dtype: object",O tênue equilíbrio da equipe que desenha produtos digitais,#FinTech is all about human-centred design - Chris Skinner's blog,Chatbots: Are they better without the chat?
-9.16091E+18,"Apple's new file manager, APFS, is awesome",Spotify's Event Delivery - The Road to the Cloud (Part III),A New Number Format for Computers Could Nuke Approximation Errors for Good,Shutter Island (2010),CSS Containment in Chrome 52 | Web Updates - Google Developers,"Microsoft: Windows Phone is not the place to do ""new and exciting things"" - MSPoweruser"
-9.15734E+18,Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,O início problemático dos chatbots no Facebook Messenger,Por que o Walmart não é Walmart no Brasil,Why Walmart wants to buy Jet.com and what you need to know about the potential deal,Marketplace,Adopting Open Source Development Processes in Corporate IT
-9.15349E+18,"contentId
-9153494109165200346    Android N Developer Preview 2, out today! | An...
-9153494109165200346    Android N Developer Preview 2, out today! | An...
Name: title, dtype: object",Tecnologia para colher mais e o uso do GPS,Sesi oferece curso de LIBRAS com certificação de 40 horas,"Android N Developer Preview 2, out today! | Android Developers Blog",Android Quickstart - Firebase,"ConstraintLayout, Inside and Out: Part 2"
-9.1524E+18,"Microsoft Is Now 'Open By Default', Says Xamarin Founder Miguel de Icaza","Depois da Inteligência Artificial, vem aí a Inteligência Paralela","Microsoft Is Now 'Open By Default', Says Xamarin Founder Miguel de Icaza","Windows 10 Mobile news recap: Nadella teases ""ultimate"" device, Surface Phone spec rumors and more | On MSFT",Fintechs: elas podem dominar o setor financeiro?,Olhando para o futuro: 5 pontos de atenção
-9.14711E+18,Confira um relatório sobre a indústria das aceleradoras globais e conheça as tendências para os próximos anos - Startupi,"Recharge, used to book hotel rooms by the minute, raises $2.3 million","Primeira cidade inteligente brasileira, equipada com sensores, sistemas e soluções digitais, será desenvolvida por startup - Startupi",New Africa Trend Briefing from TrendWatching | THE FUTURE OF AFRICONNECTION,trendwatching.com | 5 Trends for 2017 | TrendWatching,WalkMe acquires Abbi.io to add mobile A/B testing and engagement
-9.13704E+18,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption",Dries Buytaert,"contentId
-2377881752614744441    Certeza que devemos marcar uma reunião?
-2377881752614744441    Certeza que devemos marcar uma reunião?
Name: title, dtype: object",Software Architecture Patterns,"Filtering and formatting fun with gcloud, GCP's command line interface","Acquia Releases Lightning for Drupal 8, Enabling Fast Starts for Digital Experience Deployments [July 19, 2016]"
-9.12874E+18,Confirmed: Walmart buys Jet.com for $3B in cash,Automation and anxiety,Building organizational capabilities: McKinsey Global Survey results,Magic Quadrant for Business Intelligence and Analytics Platforms,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations
-9.12865E+18,Clarifying the uses of artificial intelligence in the enterprise,The return of the machinery question,Finding The Meaning Of Artificial Intelligence At Google I/O,Artificial Intelligence's White Guy Problem,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion"
-9.10733E+18,Hopper raises $16 million for a travel app that tells you the best time to fly,How people using Slack to organise their grocery lists is helping it grow,Slack raises $200m at $3.8b valuation for business messaging,Ingenious Shirt Uses Recognizable Icons to Help Break Language Barriers When Traveling,Platforms are the real powerhouses in Silicon Valley's business landscape,How to grow your startup with no budget
-9.10504E+18,Lições de empreendedorismo com a série The 100,The Progress of Web Apps - On the Edge,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",The Art Of Layout Testing With Galen Framework - Smashing Magazine,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery
-9.10378E+18,What Is a Good Retention Rate for Online Software,What Is a Good Retention Rate for Online Software,New South & Central America Trend Briefing from TrendWatching | PROTECTIVE TECH,New Trend Briefing from TrendWatching | RECONCILIATION BRANDS,Visa traz pagamentos móveis ao Brasil junto com Samsung - Startupi,Family photo sharing platform Togethera shutters after low growth numbers
-9.10243E+18,"contentId
-9102431381393428051    How Leaders Can Let Go Without Losing Control
-9102431381393428051    How Leaders Can Let Go Without Losing Control
Name: title, dtype: object",5 motivos para não escrever 5 motivos,Google Calendar's newest feature uses machine learning to help you actually accomplish your goals,4 Reasons Managers Should Spend More Time on Coaching,Changing change management,Most People Say They Could Get Rid of Tons of Stuff and Still Be Happy
-9.10049E+18,What Happens When You Combine Artificial Intelligence and Satellite Imagery,Three Platforms Bringing Bitcoin To Social Messaging Users,Debug Site Performance Using Web Profiler in Drupal 8,Customer Supplied Encryption Keys in Cloud Storage now in beta,Deep Learning Demystified,Meet Aquifer: A build system for easier Drupal development
-9.09916E+18,CCR vende dona do Sem Parar por R$ 4 bi | EXAME.com,"contentId
9033884391004475493    The Art of the OKR
9033884391004475493    The Art of the OKR
Name: title, dtype: object","contentId
4315784099325221836    tins ::: Rick Klau's weblog
4315784099325221836    tins ::: Rick Klau's weblog
Name: title, dtype: object",The SFMOMA's New App Will Forever Change How You Enjoy Museums,"Ava wants to molecularly replicate high-end wines, no grapes necessary",Senior Solution paga R$ 50 mi pela att/PS e reforça portfólio com software para core banking
-9.095E+18,Kroton prepara oferta pelo controle da Estácio - Primeiro Lugar On-line,Dasa compra maior rede de laboratórios do Nordeste,A saga do jovem CEO da Dasa,Services ,Governo brasileiro cria manual para contratação de cloud,6 exemplos de como usar computação cognitiva | EXAME.com
-9.09233E+18,A Voz Da Marca #2 - De onde vêm as histórias by A Voz da Marca,8 Old School SEO Practices That Are No Longer Effective - Whiteboard Friday,Return of incandescent light bulbs as MIT makes them more efficient than LEDs,"contentId
6206342468637502921    Como contar histórias para marcas - Podcast A ...
6206342468637502921    Como contar histórias para marcas - Podcast A ...
Name: title, dtype: object",Terms Aggregation in Elastic Search,"Introducing a new developer show ""Machine Learning: Recipes for New Developers"""
-9.09051E+18,OpenBazaar is Open for Business,Honda fortalece estratégia para desenvolver tecnologias inteligentes - B!T magazine,Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News,Cloud Storage Goes Mainstream: Storj Launches Beta Joining Azure BaaS,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'","Band plays on, as global oil glut leaves supertankers in a huge jam"
-9.08985E+18,Here's how The White House wants the U.S. to approach AI R&D,Innovation is in all the wrong places,TensorFlow v0.9 now available with improved mobile support,The Blockchain is the new Google,How Did Q1 2016 Go for FinTech Around the World?,Rewiring Citi for the digital age
-9.08696E+18,We are on the verge of a consumer M&A avalanche,The Competitive Landscape for Machine Intelligence,Understanding the Twitter topic Tracker,Innovation is in all the wrong places,Why Steve Jobs Was Proud to Steal Ideas,2016 will be the year of conversational commerce - Chris Messina
-9.08329E+18,Drupal How-To: Responsive or Adaptive Images? | Acquia,Unknown NEO GEO MVS Fighting Game Discovered & Dumped - Arcade Heroes,The Ultimate Digital Clean-Up Checklist: Are You Prepared For The New Year? - Smashing Magazine,20 Awesome PHP Libraries For Summer 2016,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Cloud Identity and Access Management - Google IAM
-9.08175E+18,Uso de API's no mercado de serviços financeiros,4 Strategies for Mastering UX in Virtual Reality Games,New Asia Trend Briefing from TrendWatching | SOCIAL SERVANTS,The Future of Digital Banking is Now,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,LOGOBR School | Behance Reviews Campinas 2016
-9.08087E+18,3 Skills That All Emotionally Intelligent People Master,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o...",Cientistas trabalham em técnica que permite imprimir alimentos,Por que a limitação da banda larga é uma forma de ignorar o futuro,Shutter Island (2010),The best-and worst-places to be a working woman
-9.0765E+18,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,Gartner Reprint,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,A Data Engineer's Guide To Non-Traditional Data Storages,Gartner Reprint
-9.07321E+18,Number plate recognition with Tensorflow,Auka brings Google Cloud-powered banking to Europe,Google cloud to OpenStack users: Come on in!,Conversational Banking; from branches to bots. - Chatbots Magazine,How to write a hypothesis,New Sessions Added To Google I/O 2016 Schedule
-9.07188E+18,Singapore bank wants you to talk to its chatbot to get your banking done,"thinkseg traz o seguro ""pague conforme você usa"" para taxistas",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Martech and ad tech convergence: myth or reality?,77 Startups Powering The Future Of Farming And Agribusiness,A smart home is where the bot is
-9.0641E+18,Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,"[1701.02952] Unhappy Developers: Bad for Themselves, Bad for Process, and Bad for Software Product",Lossless Web Navigation with Trails,Now sites can fingerprint you online even when you use multiple browsers,Announcing .NET Core 1.0,"Microservices Reference Architecture, Part 4 -12‑Factor App"
-9.05611E+18,Acquia Engage 2016: Day One,Sharing innovation with your competitors - Dries Buytaert,Introducing Docker for Windows Server 2016 - Docker Blog,Load Testing Our Site on Pantheon (Drupalize.me),Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Bringing Pokémon GO to life on Google Cloud
-9.05504E+18,Accept questions from your audience when presenting in Google Slides,7 lessons about finding the work you were meant to do,"Apple, Set to Move to Its Spaceship, Should Try More Moonshots",Microsoft wants to connect all your favorite apps with Flow,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
-9.05045E+18,Apple's secret strategy: Underpromise and overdeliver,How Apple Keyboards Lost a Logo and Windows PCs Gained One,Apple Unveils iPhone 7 Alongside 7 Plus With Dual-Lens Camera,A Baseline for Hybrid Mobile Developers,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js
-9.04575E+18,BIG BRAND REDEMPTION | New free Trend Briefing from TrendWatching,Today in Apple history: Happy birthday Steve Wozniak,"contentId
8200662919796009914    Cartography Comparison: Google Maps & Apple Maps
8200662919796009914    Cartography Comparison: Google Maps & Apple Maps
Name: title, dtype: object","contentId
-1312850681127865433                      Swift.org
-1312850681127865433    Swift API Design Guidelines
Name: title, dtype: object","contentId
5817939718364925129    Today in Apple history: Steve Jobs passes away...
5817939718364925129       Today in Apple history: Steve Jobs passes away
Name: title, dtype: object","contentId
2847365042071859088    IBM now uses more Macs than any other company ...
2847365042071859088    IBM now uses more Macs than any other company ...
Name: title, dtype: object"
-9.04182E+18,Free online Game AI Classes - Apex Game Tools,Fileless Malware - A Behavioural Analysis Of Kovter Persistence,The Challenge of Determining Whether an A.I. Is Sentient,Generative Models,"contentId
1433951803438448289    Creative partnerships: Machine learning and th...
1433951803438448289    Creative partnerships: Machine learning and th...
Name: title, dtype: object","contentId
7420742904084384944    Fooling The Machine
7420742904084384944    Fooling The Machine
Name: title, dtype: object"
-9.04155E+18,Browser Ball,Anaqueen Skywalker: um mashup de Star Wars com Bohemian Rhapsody,Google releases keyboard for the iPhone with built-in search features,Infrequently Noted,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",Progressive Web App - first introduced on Google I/O | airberlin
-9.04042E+18,"Depois da Inteligência Artificial, vem aí a Inteligência Paralela","Depois da Inteligência Artificial, vem aí a Inteligência Paralela","Microsoft Is Now 'Open By Default', Says Xamarin Founder Miguel de Icaza","Windows 10 Mobile news recap: Nadella teases ""ultimate"" device, Surface Phone spec rumors and more | On MSFT",Fintechs: elas podem dominar o setor financeiro?,Olhando para o futuro: 5 pontos de atenção
-9.03902E+18,Concurso Literário Leia Mulheres + Sweek | Sweek,Promoting gender equality through emoji �� ��,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Asus ready to take bite of 'Pi' market with Tinker micro PC,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Google's Tensor Processing Unit explained: this is what the future of computing looks like
-9.03335E+18,Software Architecture Patterns,Software Architecture Patterns,12 Agile principles,"contentId
-2377881752614744441    Certeza que devemos marcar uma reunião?
-2377881752614744441    Certeza que devemos marcar uma reunião?
Name: title, dtype: object",Lançado 1º E-commerce de Mão de Obra Operacional do Brasil,8 Books Stanford MBAs Recommend You Read This Summer
-9.03321E+18,Google's Cloud Machine Learning service is now in public beta,The emerging Darwinian approach to analytics and augmented intelligence,Graph-powered Machine Learning at Google,Services | RaRe Technologies,"contentId
-7356135999773525293    Fooling The Machine
-7356135999773525293    Fooling The Machine
Name: title, dtype: object","contentId
1433951803438448289    Creative partnerships: Machine learning and th...
1433951803438448289    Creative partnerships: Machine learning and th...
Name: title, dtype: object"
-9.02899E+18,Xamarin for Everyone,Modelando APIs REST com Swagger,The Ultimate Solution to Versioning REST APIs: Content Negotiation,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Desenvolvimento Efetivo na Plataforma Microsoft: o livro.,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
-9.02096E+18,KFC chinês adota robô que escaneia clientes para sugerir menu - Startupi,Asus ready to take bite of 'Pi' market with Tinker micro PC,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"Signs suggest that 101Hero, the $49 3D printer, was too good to be true",Google's Tensor Processing Unit explained: this is what the future of computing looks like,New Trend Briefing from TrendWatching | AUTONOMANIA!
-9.01958E+18,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,Santander Brasil gera 21% do resultado da matriz no 4º trimestre,"Santander Brasil tem lucro gerencial de R$ 1,989 bi no 4º trimestre",Endered e Small World fazeme parceria para remessas de valores através de cartões,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho."
-9.01923E+18,Berners-Lee quer criar outra Web,Pinterest Acquires Read-It-Later App Instapaper,Clean Coder Blog,Anti-If: The missing patterns,Alecrim/AlecrimCoreData,Programming by poking: why MIT stopped teaching SICP
-9.00759E+18,Unknown NEO GEO MVS Fighting Game Discovered & Dumped - Arcade Heroes,Mining in Space Could Lead to Conflicts on Earth - Facts So Romantic - Nautilus,Drupal How-To: Responsive or Adaptive Images? | Acquia,Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,Kite wants to be every developer's pair-programming buddy,"So your AI bot went haywire, should you care?"
-9.00219E+18,Is the Chatbot Trend One Big Misunderstanding?,Pinterest Reinvents Itself to Prove It's Really Worth Billions,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack","Dag Kittlaus, co-founder of Siri, will give the world's first demo of a next gen AI called Viv at Disrupt NY","Google's I/O Is a Little Like Disneyland, and a Little Like a Garage Sale",Behold.ai launches artificially intelligent medical software to find abnormalities faster
-8.99666E+18,Esse bot do Facebook Messenger te ajuda a estudar para o ENEM,Return of incandescent light bulbs as MIT makes them more efficient than LEDs,8 Old School SEO Practices That Are No Longer Effective - Whiteboard Friday,"Introducing a new developer show ""Machine Learning: Recipes for New Developers""",Why Deep Learning Is Suddenly Changing Your Life,Terms Aggregation in Elastic Search
-8.9928E+18,4 Reasons Managers Should Spend More Time on Coaching,Investimentos em coaching e mentoring aumentam nas empresas,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
-8.9922E+18,15 Awesome Sublime Text Plugins For Web Development,TypeScript 2.0 is now available!,O WhatsApp do Google chegou e se chama Allo,The Progress of Web Apps - On the Edge,Google releases keyboard for the iPhone with built-in search features,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card"
-8.98467E+18,An Introduction to Elasticsearch Aggregations,Will Google NLI kill the market? Linguistic APIs review,8 Old School SEO Practices That Are No Longer Effective - Whiteboard Friday,Return of incandescent light bulbs as MIT makes them more efficient than LEDs,Terms Aggregation in Elastic Search,"Introducing a new developer show ""Machine Learning: Recipes for New Developers"""
-8.98083E+18,Ingenious Shirt Uses Recognizable Icons to Help Break Language Barriers When Traveling,Slack raises $200m at $3.8b valuation for business messaging,The Startup Zeitgeist,"Predicting the future, one week at a time",Platforms are the real powerhouses in Silicon Valley's business landscape,How to grow your startup with no budget
-8.97109E+18,Introducing online resizing of Google Cloud Persistent Disks without downtime,Google Is About to Supercharge Its TensorFlow Open Source AI,Banca IMI Researcher: Blockchain Won't Work if Business Models Don't Change - CoinDesk,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic","Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'",Google believes its superior AI will be the key to its future
-8.9681E+18,Olhando para o futuro: 5 pontos de atenção,"Microsoft Is Now 'Open By Default', Says Xamarin Founder Miguel de Icaza","Windows 10 Mobile news recap: Nadella teases ""ultimate"" device, Surface Phone spec rumors and more | On MSFT",7 Ways Meditation Can Actually Change The Brain,"Depois da Inteligência Artificial, vem aí a Inteligência Paralela",Fintechs: elas podem dominar o setor financeiro?
-8.96453E+18,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,USB-C and Lightning headphones,9 Rules of Open-Office Etiquette,Alphabet testará drones de entrega nos Estados Unidos,New settings for 2-Step Verification,Get ready for Google I/O 2016
-8.9627E+18,Bash on Ubuntu on Windows - Download Now!,This is the flying chainsaw drone you knew was coming,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Android Studio 2.0 | Android Developers Blog,Introducing Ask a Female Engineer
-8.95435E+18,The technology behind preview photos,Lady Gaga's startup Backplane burns out and sells assets,Sunset Blvd. (1950),All About Eve (1950),The Color of Paradise (1999),"The inside story of how Amazon created Echo, the next billion dollar business no one saw coming"
-8.95076E+18,Mobify report reveals impact of mobile website speed,Getting Ready For HTTP/2: A Guide For Web Designers And Developers - Smashing Magazine,"contentId
7944907848226041964    Cego é destaque entre os fotógrafos que regist...
7944907848226041964    Cego é destaque entre os fotógrafos que regist...
Name: title, dtype: object","Front-End Performance Checklist 2017 (PDF, Apple Pages) - Smashing Magazine",Yahoo discloses hack of 1 billion accounts,Facebook now flags and down-ranks fake news with help from outside fact checkers
-8.94911E+18,"No Brasil, '25% dos celulares ainda são 'Burrofones'",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Fusão de startups cria uma das maiores de tecnologia em saúde do Brasil,Patente do Google prevê carro que gruda pedestres atingidos no capô,Departures (2008),Oldboy (2003)
-8.94823E+18,Nova pulseira tecnológica avisa se você já bebeu demais,New Trend Briefing from TrendWatching | AUTONOMANIA!,Asus ready to take bite of 'Pi' market with Tinker micro PC,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Put a ring on it: three smart rings with plenty of beauty and brains,Google's Tensor Processing Unit explained: this is what the future of computing looks like
-8.94772E+18,Walmart compra startup para brigar com Amazon | EXAME.com,Spotify Raises $1 Billion in Debt Financing,Management theory is becoming a compendium of dead ideas,"Where, how much, and how: Answering the hardest questions of resource allocation",America's allies are preparing for a bumpy ride,Tailoring your integration approach to specific deals
-8.94203E+18,German insurance startup Clark closes €13.2M Series A,"JPMorgan Software Does in Seconds What Took Lawyers 360,000 Hours",I'm trying my hardest to slow the fuck down - HI MY NAME IS JON,What DeepMind brings to Alphabet,MIT and Microsoft Research made a 'smart' tattoo that remotely controls your phone,"De Zelotes ao ""projeto secreto de TI"": diretores do Bradesco respondem dúvidas do mercado"
-8.93917E+18,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,Debug Site Performance Using Web Profiler in Drupal 8,The incestuous relations among containers orchestration tools,Why Is Learning Drupal Hard?,Customer Supplied Encryption Keys in Cloud Storage now in beta,How We Migrated Our Backend to Spring Boot in 3 Weeks - Stormpath User Identity API
-8.93707E+18,Adopting Open Source Development Processes in Corporate IT,O início problemático dos chatbots no Facebook Messenger,Por que o Walmart não é Walmart no Brasil,Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Marketplace
-8.93505E+18,The Big Lebowski (1998),The Big Lebowski (1998),Labyrinth of Lies (2014),Punch-Drunk Love (2002),Dogville (2003),Requiem for a Dream (2000)
-8.9342E+18,[PayPal] Postos Shell adotam pagamento no smartphone,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",[Course] Gamification - University of Pennsylvania | Coursera,[Canais Digitais] Banco Agiplan lança app que elimina intermediários ou pagamento de taxas - E-Commerce News,Correntistas podem renegociar dívidas com o banco pela internet,Sony Smart Tennis Sensor for Tennis Rackets
-8.93353E+18,RecyclerView Prefetch - Google Developers,Building interfaces with ConstraintLayout - Google Developers,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,10 things we learned from Tim Cook's most revealing interview yet | Cult of Mac,"Fresco, sim! - Android Dev BR",Announcing updates to Google's Internet of Things platform: Android Things and Weave
-8.9134E+18,Falling for Web Components,"contentId
7944907848226041964    Cego é destaque entre os fotógrafos que regist...
7944907848226041964    Cego é destaque entre os fotógrafos que regist...
Name: title, dtype: object",Getting Ready For HTTP/2: A Guide For Web Designers And Developers - Smashing Magazine,"Front-End Performance Checklist 2017 (PDF, Apple Pages) - Smashing Magazine",Yahoo discloses hack of 1 billion accounts,Facebook now flags and down-ranks fake news with help from outside fact checkers
-8.90993E+18,"Android N Developer Preview 2, out today! | Android Developers Blog","contentId
-9153494109165200346    Android N Developer Preview 2, out today! | An...
-9153494109165200346    Android N Developer Preview 2, out today! | An...
Name: title, dtype: object",Tecnologia para colher mais e o uso do GPS,Sesi oferece curso de LIBRAS com certificação de 40 horas,"ConstraintLayout, Inside and Out: Part 2",Android Quickstart - Firebase
-8.90899E+18,"Bots need a personality, not a brain like a vending machine",What the future will look like when we use chatbots instead of apps,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,App do YouTube ganha sistema de bate-papo privado | Google Discovery,App do Google Search para Android agora busca por músicas no Brasil | Google Discovery,Confira um relatório sobre a indústria das aceleradoras globais e conheça as tendências para os próximos anos - Startupi
-8.90031E+18,How Machine Learning Will Change Our Relationship to Food,TF-Slim: A high level library to define complex models in TensorFlow,Google's Schmidt Says Computers Not a Threat to Humans or Jobs,What Bazaars Can Teach Us About Digital Marketplaces,"contentId
8381798621267347902    Approaching (Almost) Any Machine Learning Problem
8381798621267347902    Approaching (Almost) Any Machine Learning Problem
Name: title, dtype: object","contentId
8219310215587599928    Fooling The Machine
8219310215587599928    Fooling The Machine
Name: title, dtype: object"
-8.90011E+18,Banking Needs a Customer Experience Wake-Up Call,Confused by blockchains? Revolution vs Evolution,How Blockchain Technology Can Improve the Insurance Industry,Santander Brasil gera 21% do resultado da matriz no 4º trimestre,"Santander Brasil tem lucro gerencial de R$ 1,989 bi no 4º trimestre",Endered e Small World fazeme parceria para remessas de valores através de cartões
-8.88578E+18,Criador do Ubuntu diz que o sistema soluciona o problema de segurança na Internet das Coisas,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,New ways to keep data flowing between your apps and ours,App do Google Search para Android agora busca por músicas no Brasil | Google Discovery,Google moves to replace Flash with HTML5
-8.87998E+18,Boot camp São Paulo/SP :: Torne-se um Service Design Sprint Master,Blockchain CEO's Business Advice on Bitcoin Startups,Barclays finally launches Apple Pay | The Memo,Global Blockchain Forum Launched to Coordinate Regulatory Interoperability and Best Practices,"Band plays on, as global oil glut leaves supertankers in a huge jam",The Blockchain is the new Google
