contentId,recommended_contentIds
5822211783543822544,"[np.int64(764116021156146784), np.int64(1990052153136096105), np.int64(7851022564818849560), np.int64(-96719740408441346), np.int64(-5238066650780855302)]"
6152652267138213180,"[np.int64(-6308850935767965758), np.int64(-6728844082024523434), np.int64(1592600391233958243), np.int64(-6249065792190816357), np.int64(7351002593233940239)]"
9032993320407723266,"[np.int64(5817939718364925129), np.int64(5817939718364925129), np.int64(2628816849077589497), np.int64(-7766518409111702133), np.int64(-1480913447590268358)]"
7520301770873472812,"[np.int64(-5679515279292214033), np.int64(2229625391864201918), np.int64(7962608766252092705), np.int64(-4070599188332885701), np.int64(-42126282997118624)]"
-5715266554592745669,"[np.int64(4644672909721737325), np.int64(3296513714237850943), np.int64(3779639438468810958), np.int64(1920899299418335515), np.int64(-5881946480525580860)]"
8545647269051113523,"[np.int64(-8939172344092554931), np.int64(3750772607644674028), np.int64(-4833307637594287163), np.int64(-7681408188643141872), np.int64(-8520302351158933500)]"
668505019835540303,"[np.int64(444378495316508239), np.int64(-3883591366197282127), np.int64(2220561310072186802), np.int64(3322348437880079228), np.int64(9208127165664287660)]"
-6727393385193911938,"[np.int64(4089568303716665454), np.int64(-4994468824009200256), np.int64(-7529178973676767391), np.int64(9136323715291453594), np.int64(5162508842577612756)]"
7351002593233940239,"[np.int64(-8734181034726403477), np.int64(2280365999288629014), np.int64(-8773118241761372618), np.int64(5795281877636738272), np.int64(-8819557474068526071)]"
1083474613819325601,"[np.int64(638282658987724754), np.int64(-9128652074338368262), np.int64(-8068727428160395745), np.int64(2220561310072186802), np.int64(-377975173223377441)]"
-4994468824009200256,"[np.int64(-9089854794058353436), np.int64(4089568303716665454), np.int64(-434149774629603391), np.int64(-7895534832212398576), np.int64(-993224631915984347)]"
-4571929941432664145,"[np.int64(-8473322535064919980), np.int64(2220561310072186802), np.int64(-8068727428160395745), np.int64(5250363310227021277), np.int64(-7126520323752764957)]"
5441215535748592870,"[np.int64(-2148899391355011268), np.int64(-1868297195590431285), np.int64(1266958185239582088), np.int64(8084284001249507595), np.int64(-2273517184910006534)]"
7359520440231676934,"[np.int64(-1418355038507506357), np.int64(2448026894306402386), np.int64(-692972306229904743), np.int64(-3528088210002754978), np.int64(-2273517184910006534)]"
4774970687540378081,"[np.int64(9060231864899459154), np.int64(6754313450809254838), np.int64(3155118717275463069), np.int64(-7002558676365724983), np.int64(-8187220755213888616)]"
6102826385978742696,"[np.int64(6186282670048283099), np.int64(-8704908797766843570), np.int64(-7342604649736473979), np.int64(7616472242818646827), np.int64(2788367348502337122)]"
809601605585939618,"[np.int64(-6133746337603876146), np.int64(738761744030347929), np.int64(-8962700386317589038), np.int64(-7638840925036528150), np.int64(-6499865726739947794)]"
8742078838645536785,"[np.int64(162771765556771108), np.int64(1449689399273695199), np.int64(3035329611795434601), np.int64(5350829677696205474), np.int64(1829180586132834070)]"
-1802980374508081539,"[np.int64(1128840733277618400), np.int64(-7051470020148066326), np.int64(3779639438468810958), np.int64(4644672909721737325), np.int64(9151634133568930081)]"
-6195775145989617417,"[np.int64(1933229167501870037), np.int64(-1590585250246572231), np.int64(3149164017776669829), np.int64(-2176468683077766369), np.int64(-8529522981244750831)]"
-2176468683077766369,"[np.int64(3035329611795434601), np.int64(1487738553913510703), np.int64(511891900317865118), np.int64(-4615575698508618335), np.int64(3320201327008235211)]"
7973573994178035769,"[np.int64(7973573994178035769), np.int64(1331356827163029243), np.int64(2834072258350675251), np.int64(5545306236636747547), np.int64(4563006651994272837)]"
7973573994178035769,"[np.int64(7973573994178035769), np.int64(1331356827163029243), np.int64(2834072258350675251), np.int64(5545306236636747547), np.int64(4563006651994272837)]"
-1590585250246572231,"[np.int64(1933229167501870037), np.int64(-6195775145989617417), np.int64(511891900317865118), np.int64(-2176468683077766369), np.int64(-3700095596785790870)]"
-4662020648308370136,"[np.int64(8118799783881928573), np.int64(3035329611795434601), np.int64(5322532051893153382), np.int64(5322532051893153382), np.int64(7446534728307622413)]"
-4110991218639855802,"[np.int64(-8286289711960957081), np.int64(962287586799267519), np.int64(-844797936291539016), np.int64(9207286802575546269), np.int64(-1484165300616478995)]"
1964631817676172382,"[np.int64(-1762456938647577126), np.int64(-4740532350684079805), np.int64(-8502883448980287228), np.int64(5558603035498264655), np.int64(4877833951599818487)]"
5156657166068502754,"[np.int64(1929674614667189969), np.int64(-4338308747999225618), np.int64(1128840733277618400), np.int64(4877833951599818487), np.int64(-92787874211637246)]"
-4102297002729307038,"[np.int64(5135371516547401748), np.int64(-9137036168156595470), np.int64(6908884359295619150), np.int64(7071371416976898441), np.int64(3643465492984939400)]"
2093656054622337275,"[np.int64(-1492913151930215984), np.int64(-1419188045265393093), np.int64(428486625959995206), np.int64(1328618437884612347), np.int64(6042459843569845586)]"
9122627895188486603,"[np.int64(-4930542581518647030), np.int64(-3428996085514172371), np.int64(6932547594283220441), np.int64(1184320069221244535), np.int64(1981046186743381313)]"
1933229167501870037,"[np.int64(-1590585250246572231), np.int64(-6195775145989617417), np.int64(-3700095596785790870), np.int64(-5405021817466310759), np.int64(-2176468683077766369)]"
7528802258213768379,"[np.int64(3575694866055127253), np.int64(6384824828701919724), np.int64(7071371416976898441), np.int64(-1630229587164086350), np.int64(-595851741330881198)]"
8078873160882064481,"[np.int64(4945121243335041737), np.int64(2388097612905924826), np.int64(-1630229587164086350), np.int64(223316996491584050), np.int64(-5014627593450767720)]"
-9083294960368598209,"[np.int64(7071371416976898441), np.int64(3575694866055127253), np.int64(-1630229587164086350), np.int64(6384824828701919724), np.int64(-595851741330881198)]"
-6136272094613269629,"[np.int64(-1630229587164086350), np.int64(-5198756378866433953), np.int64(-5014627593450767720), np.int64(3575694866055127253), np.int64(-7130425546996181071)]"
787067277772219433,"[np.int64(-5431549861280885742), np.int64(-1630229587164086350), np.int64(-8992201526199201450), np.int64(3575694866055127253), np.int64(-7130425546996181071)]"
-2778760500673113802,"[np.int64(-3810375613673461625), np.int64(4804093434821394840), np.int64(1266958185239582088), np.int64(5274322067107287523), np.int64(-6451309518266745024)]"
-6725796505137573953,"[np.int64(1266958185239582088), np.int64(-2273517184910006534), np.int64(4156291407717900798), np.int64(5410603488837817052), np.int64(-692972306229904743)]"
1457728991321948254,"[np.int64(5410603488837817052), np.int64(5191381587333696286), np.int64(8631616594020837056), np.int64(4463025528374352465), np.int64(2448026894306402386)]"
-7101541512657907485,"[np.int64(4109618890343020064), np.int64(-2273517184910006534), np.int64(1431351528207086249), np.int64(-3528088210002754978), np.int64(-2826566343807132236)]"
5281570276277574938,"[np.int64(-9128652074338368262), np.int64(2399228553079505025), np.int64(-3269885695260066314), np.int64(-2410328180964789831), np.int64(6304895356046683527)]"
1128840733277618400,"[np.int64(4877833951599818487), np.int64(1929674614667189969), np.int64(-4338308747999225618), np.int64(-9033211547111606164), np.int64(5619251370090681244)]"
-7356135999773525293,"[np.int64(-7356135999773525293), np.int64(7420742904084384944), np.int64(7420742904084384944), np.int64(8219310215587599928), np.int64(7748594134538052724)]"
2313825045587317872,"[np.int64(1403599387299754918), np.int64(6075137928366965854), np.int64(8729086959762650511), np.int64(-1981734999963962468), np.int64(-4760639635023250284)]"
-518690781085251687,"[np.int64(5619251370090681244), np.int64(4877833951599818487), np.int64(1549650080907932816), np.int64(-115909536143817330), np.int64(4195778828921942020)]"
3067875254349597654,"[np.int64(-6713697716910928909), np.int64(-6451309518266745024), np.int64(-4110354420726924665), np.int64(3353902017498793780), np.int64(8084284001249507595)]"
-7356135999773525293,"[np.int64(-7356135999773525293), np.int64(7420742904084384944), np.int64(7420742904084384944), np.int64(8219310215587599928), np.int64(7748594134538052724)]"
5619251370090681244,"[np.int64(4877833951599818487), np.int64(-518690781085251687), np.int64(1128840733277618400), np.int64(-7165716941095296287), np.int64(-4761420664091904483)]"
7420742904084384944,"[np.int64(-7356135999773525293), np.int64(7420742904084384944), np.int64(7420742904084384944), np.int64(8219310215587599928), np.int64(7748594134538052724)]"
7420742904084384944,"[np.int64(-7356135999773525293), np.int64(7420742904084384944), np.int64(7420742904084384944), np.int64(8219310215587599928), np.int64(7748594134538052724)]"
8219310215587599928,"[np.int64(-7356135999773525293), np.int64(7420742904084384944), np.int64(7420742904084384944), np.int64(8219310215587599928), np.int64(7748594134538052724)]"
7748594134538052724,"[np.int64(-7356135999773525293), np.int64(7420742904084384944), np.int64(7420742904084384944), np.int64(8219310215587599928), np.int64(7748594134538052724)]"
8219310215587599928,"[np.int64(-7356135999773525293), np.int64(7420742904084384944), np.int64(7420742904084384944), np.int64(8219310215587599928), np.int64(7748594134538052724)]"
-4186591400427142356,"[np.int64(123378787151399958), np.int64(6044362651232258738), np.int64(-5082274522455747241), np.int64(4161491675236615151), np.int64(1115750778137998115)]"
8565115980515859979,"[np.int64(-1926525896637230556), np.int64(5619251370090681244), np.int64(8690601908689146128), np.int64(-1181242543195516037), np.int64(-7959318068735027467)]"
8082202054464515448,"[np.int64(751528815916485437), np.int64(-5082274522455747241), np.int64(123378787151399958), np.int64(4815632823882298534), np.int64(6341647533150019811)]"
-5973686110278905367,"[np.int64(3293246847422795557), np.int64(6754417485681598974), np.int64(4774970687540378081), np.int64(-8044741783031984918), np.int64(-5912792039759735631)]"
-9172673334835262304,"[np.int64(-5636731245639685654), np.int64(6157037646878010131), np.int64(4815632823882298534), np.int64(751528815916485437), np.int64(270443693434886127)]"
-1039912738963181810,"[np.int64(-8909927294729358771), np.int64(-9153494109165200346), np.int64(-9153494109165200346), np.int64(8297658253225035519), np.int64(-799315203186826480)]"
3172866488852888544,"[np.int64(3720742491238027703), np.int64(8596997246990922861), np.int64(1805849336099641652), np.int64(-541666025693385823), np.int64(7775857588929395558)]"
8095004770374551394,"[np.int64(-36844712915106340), np.int64(-4541461982704074404), np.int64(-6499865726739947794), np.int64(-6499865726739947794), np.int64(4089568303716665454)]"
8801106199759296338,"[np.int64(9136323715291453594), np.int64(-5527182266336855540), np.int64(5162508842577612756), np.int64(8814787788150050622), np.int64(6607431762270322325)]"
-4760639635023250284,"[np.int64(4877833951599818487), np.int64(-729129249377835720), np.int64(-4761420664091904483), np.int64(-7165716941095296287), np.int64(5211673327552264703)]"
-9137036168156595470,"[np.int64(-1630229587164086350), np.int64(3575694866055127253), np.int64(7071371416976898441), np.int64(6384824828701919724), np.int64(-5014627593450767720)]"
-454649054276160610,"[np.int64(-36844712915106340), np.int64(-6499865726739947794), np.int64(-6499865726739947794), np.int64(-7638840925036528150), np.int64(809601605585939618)]"
-36844712915106340,"[np.int64(-454649054276160610), np.int64(8095004770374551394), np.int64(-6499865726739947794), np.int64(-6499865726739947794), np.int64(-7638840925036528150)]"
5333141914314968598,"[np.int64(3193164045772142182), np.int64(8095004770374551394), np.int64(5053372977408537204), np.int64(-6778286518036232293), np.int64(-6817732106250460899)]"
-8248141950199177506,"[np.int64(3575694866055127253), np.int64(-7130425546996181071), np.int64(-3552937095886146934), np.int64(6384824828701919724), np.int64(7071371416976898441)]"
-5431549861280885742,"[np.int64(-1630229587164086350), np.int64(3575694866055127253), np.int64(-7130425546996181071), np.int64(-5014627593450767720), np.int64(-595851741330881198)]"
1003778007373126185,"[np.int64(6222001809679591440), np.int64(-5605799891597699962), np.int64(-4760639635023250284), np.int64(-4138575697540914268), np.int64(-3102652803014865472)]"
-1060990524105135617,"[np.int64(-8068727428160395745), np.int64(2220561310072186802), np.int64(5258604889412591249), np.int64(5250363310227021277), np.int64(-8123434787655959885)]"
-9100490342054218852,"[np.int64(4036103329046553070), np.int64(-6273159470243757969), np.int64(8963938873430212934), np.int64(3293246847422795557), np.int64(2399228553079505025)]"
4121807259563748287,"[np.int64(-5829402940194444779), np.int64(-4541461982704074404), np.int64(-5997769775112032630), np.int64(8095004770374551394), np.int64(4089568303716665454)]"
-6133746337603876146,"[np.int64(738761744030347929), np.int64(-8962700386317589038), np.int64(809601605585939618), np.int64(-7638840925036528150), np.int64(-36844712915106340)]"
-6713697716910928909,"[np.int64(3067875254349597654), np.int64(3353902017498793780), np.int64(-6451309518266745024), np.int64(-4110354420726924665), np.int64(8084284001249507595)]"
5191381587333696286,"[np.int64(-3211843544085892873), np.int64(-1418355038507506357), np.int64(4706890430832287959), np.int64(1457728991321948254), np.int64(7359520440231676934)]"
2900029983899283273,"[np.int64(2255603060224026824), np.int64(1266958185239582088), np.int64(-1868297195590431285), np.int64(-3810375613673461625), np.int64(5274322067107287523)]"
4849766494522371290,"[np.int64(-6451309518266745024), np.int64(-4110354420726924665), np.int64(3353902017498793780), np.int64(5274322067107287523), np.int64(1485652648052127324)]"
6200172800690402606,"[np.int64(1266958185239582088), np.int64(-1868297195590431285), np.int64(2255603060224026824), np.int64(-3810375613673461625), np.int64(6419848550542384295)]"
-3810375613673461625,"[np.int64(-2778760500673113802), np.int64(1266958185239582088), np.int64(-1868297195590431285), np.int64(2255603060224026824), np.int64(-1024046541613287684)]"
-254088699629065171,"[np.int64(-6451309518266745024), np.int64(-4110354420726924665), np.int64(3353902017498793780), np.int64(5274322067107287523), np.int64(1485652648052127324)]"
-9171475473795142532,"[np.int64(-2711301039947937868), np.int64(3353902017498793780), np.int64(-6451309518266745024), np.int64(-4110354420726924665), np.int64(4849766494522371290)]"
2690205894709699741,"[np.int64(3578170066555585515), np.int64(8065912276310959188), np.int64(-6171950598721418038), np.int64(3382511589554885024), np.int64(-7463572107837163154)]"
-8773118241761372618,"[np.int64(2280365999288629014), np.int64(7351002593233940239), np.int64(-327208414896292296), np.int64(-8734181034726403477), np.int64(-6133746337603876146)]"
-7315032288233856709,"[np.int64(-6499865726739947794), np.int64(-6499865726739947794), np.int64(-36844712915106340), np.int64(-7638840925036528150), np.int64(-6829454835237183038)]"
3193164045772142182,"[np.int64(5333141914314968598), np.int64(8095004770374551394), np.int64(5589105207760786822), np.int64(6576356408780336784), np.int64(-6324550271415246022)]"
4056017896532335209,"[np.int64(-6941221957775073810), np.int64(626121253933491500), np.int64(7653591914898297019), np.int64(-4414039190127558142), np.int64(4273365516830385867)]"
-6362758570633473480,"[np.int64(5533752987392101383), np.int64(5930806521893160184), np.int64(-2271868873349907631), np.int64(5206308811707978799), np.int64(3155118717275463069)]"
-8287402887944984163,"[np.int64(8259682769688682084), np.int64(6743199836219189414), np.int64(-1564468014116140117), np.int64(-8704908797766843570), np.int64(4247196691613374764)]"
84318068629167514,"[np.int64(-7169261479876586557), np.int64(8386493184609384928), np.int64(539980615899429566), np.int64(5719793245136119929), np.int64(4546206336477094824)]"
6652210819857467321,"[np.int64(-595851741330881198), np.int64(-1630229587164086350), np.int64(3575694866055127253), np.int64(-5014627593450767720), np.int64(-7130425546996181071)]"
739747367187387064,"[np.int64(-2148899391355011268), np.int64(5410603488837817052), np.int64(-205193648629294862), np.int64(-4374331682165863764), np.int64(8631616594020837056)]"
8471417198703153120,"[np.int64(1266958185239582088), np.int64(-1868297195590431285), np.int64(6200172800690402606), np.int64(-5578229678262992168), np.int64(2250978527027854837)]"
-2711301039947937868,"[np.int64(-9171475473795142532), np.int64(3353902017498793780), np.int64(-6451309518266745024), np.int64(-4110354420726924665), np.int64(4849766494522371290)]"
-1662763254714212341,"[np.int64(-2041630887686751489), np.int64(-78066964941874046), np.int64(8483892789913825147), np.int64(8620166073102656574), np.int64(-4562218760600603086)]"
-8349788035147634450,"[np.int64(2372438485070148864), np.int64(6917508501173008954), np.int64(-2144625344076628986), np.int64(5239464617027010625), np.int64(2736373711035411385)]"
5269583152423890030,"[np.int64(123378787151399958), np.int64(1107739178195154647), np.int64(5779887740609126631), np.int64(-5037827401452845772), np.int64(4161491675236615151)]"
-2271868873349907631,"[np.int64(4785499183287168509), np.int64(-5238066650780855302), np.int64(-7174595923544719736), np.int64(-5912792039759735631), np.int64(-5002383425685129595)]"
3703141283586666995,"[np.int64(6797033574746412211), np.int64(3845974592165897942), np.int64(-659411840002799494), np.int64(5688279681867464747), np.int64(9158289456544908688)]"
-3974295763584921518,"[np.int64(-5602127731550819348), np.int64(-4798431998955209742), np.int64(-1022885988494278200), np.int64(3075810310719170278), np.int64(5947470908330062710)]"
-327208414896292296,"[np.int64(6001127456099879458), np.int64(-8773118241761372618), np.int64(2607211459879791691), np.int64(-4754223659064624252), np.int64(-2855218766021441159)]"
-5525441367600219076,"[np.int64(8120046881003900118), np.int64(589254894302309232), np.int64(-3499919498720038879), np.int64(3510349622718287202), np.int64(621816023396605502)]"
-998818216447049475,"[np.int64(-8258529658421542282), np.int64(1328618437884612347), np.int64(8342423402350940832), np.int64(6304895356046683527), np.int64(5051167660880461112)]"
6090517797383271316,"[np.int64(-9176143510534135851), np.int64(4313871021753084020), np.int64(-5082274522455747241), np.int64(8869575677747285539), np.int64(-6859363289291329827)]"
8298709454703868984,"[np.int64(-6151852268067518688), np.int64(8968837261991914049), np.int64(8836508987743809103), np.int64(3293246847422795557), np.int64(5211673327552264703)]"
-4740532350684079805,"[np.int64(1964631817676172382), np.int64(-1762456938647577126), np.int64(-4930542581518647030), np.int64(5558603035498264655), np.int64(-518690781085251687)]"
2709926970543371965,"[np.int64(-8245663037926520114), np.int64(123378787151399958), np.int64(4313871021753084020), np.int64(-5082274522455747241), np.int64(8869575677747285539)]"
1542516532533301214,"[np.int64(-3528088210002754978), np.int64(5145921881592486583), np.int64(-3319960804317299025), np.int64(5795281877636738272), np.int64(2280365999288629014)]"
7454130161726657097,"[np.int64(-498521148402713730), np.int64(-7043209138459666190), np.int64(-7165716941095296287), np.int64(-8480712303720557641), np.int64(-518690781085251687)]"
3475346635930218065,"[np.int64(2788367348502337122), np.int64(-8704908797766843570), np.int64(5410293063635507608), np.int64(8259682769688682084), np.int64(6743199836219189414)]"
-3633300009206493694,"[np.int64(4355464044208438135), np.int64(3075564241645350154), np.int64(-5829979886567267504), np.int64(-4201751526335049119), np.int64(-3537777320523757545)]"
-1892877682006771545,"[np.int64(-7777013191403056825), np.int64(1805849336099641652), np.int64(2271592336048425450), np.int64(-8618420761918493321), np.int64(-8762137947059829459)]"
4196146076384098027,"[np.int64(123378787151399958), np.int64(-2167839778474325326), np.int64(-4386371945374980231), np.int64(-2323511129839590090), np.int64(-5082274522455747241)]"
6162786478796754684,"[np.int64(-6761163882540291832), np.int64(-8968101771604200516), np.int64(8386493184609384928), np.int64(4313871021753084020), np.int64(4815632823882298534)]"
1459131257418324496,"[np.int64(8428597553954921991), np.int64(1981046186743381313), np.int64(-6778286518036232293), np.int64(-6308850935767965758), np.int64(2736373711035411385)]"
-9028990334396397584,"[np.int64(-9152398073968262186), np.int64(-6074661548047199165), np.int64(6817244649248188271), np.int64(-1123543351704082417), np.int64(5795281877636738272)]"
2788367348502337122,"[np.int64(-8704908797766843570), np.int64(7616472242818646827), np.int64(8259682769688682084), np.int64(4247196691613374764), np.int64(5410293063635507608)]"
5834671664627894569,"[np.int64(962287586799267519), np.int64(-844797936291539016), np.int64(9207286802575546269), np.int64(-277169424764188814), np.int64(-1484165300616478995)]"
-6814865160063205794,"[np.int64(-9089854794058353436), np.int64(-434149774629603391), np.int64(-5637143900506554933), np.int64(3609315114795782005), np.int64(3779639438468810958)]"
-7051470020148066326,"[np.int64(5250363310227021277), np.int64(-7126520323752764957), np.int64(-8068727428160395745), np.int64(2220561310072186802), np.int64(-3745582971859460684)]"
7828019124127586556,"[np.int64(1981046186743381313), np.int64(-6308850935767965758), np.int64(-3460883803089049921), np.int64(-1342820011354825290), np.int64(4751741894255718069)]"
6987435400166905688,"[np.int64(8968837261991914049), np.int64(-1403735753867098241), np.int64(1286723199785027310), np.int64(5111115201913219115), np.int64(6917508501173008954)]"
-8427763028519233712,"[np.int64(-8937070974333045193), np.int64(-5154395767417065070), np.int64(-5736221996280340620), np.int64(223316996491584050), np.int64(-4126288159365354498)]"
-993224631915984347,"[np.int64(7395435905985567130), np.int64(-434149774629603391), np.int64(-5637143900506554933), np.int64(-9089854794058353436), np.int64(-9128652074338368262)]"
-3876501423599932851,"[np.int64(1002673045600956890), np.int64(4422997595777504091), np.int64(-4414039190127558142), np.int64(8748370453256790422), np.int64(626121253933491500)]"
-7367898111498277224,"[np.int64(-2377881752614744441), np.int64(-2377881752614744441), np.int64(-3295913657316686039), np.int64(-5009578843275173733), np.int64(1137471872769164371)]"
2885511262558254418,"[np.int64(-4541461982704074404), np.int64(5189107351987144723), np.int64(5795281877636738272), np.int64(8095004770374551394), np.int64(4089568303716665454)]"
8049518593334748695,"[np.int64(4317140528951861957), np.int64(-2440547657721869309), np.int64(1058405970043104639), np.int64(5250363310227021277), np.int64(-7126520323752764957)]"
1649085803937938638,"[np.int64(7206850235815254159), np.int64(-5976464170927897250), np.int64(3196303498841885455), np.int64(4579557799493615039), np.int64(-266262937631881148)]"
-3718969219417182449,"[np.int64(4774970687540378081), np.int64(6754313450809254838), np.int64(-4336877432539963613), np.int64(-7033990154815318757), np.int64(-7534240757267992657)]"
-2967429522197137387,"[np.int64(-6136272094613269629), np.int64(65053321054180411), np.int64(7498047411414226273), np.int64(-3671800260859291252), np.int64(-8984665034930053829)]"
-7660505434580831027,"[np.int64(123378787151399958), np.int64(-5082274522455747241), np.int64(1577045425286888616), np.int64(-8245663037926520114), np.int64(4815632823882298534)]"
3394403706511230595,"[np.int64(-4127059794203205931), np.int64(-7959318068735027467), np.int64(9208127165664287660), np.int64(8381798621267347902), np.int64(8381798621267347902)]"
-5989749314869037016,"[np.int64(-6192959589652486637), np.int64(1400543852157442197), np.int64(-7714713652743527644), np.int64(-158184760257182670), np.int64(270443693434886127)]"
-4485188959476061019,"[np.int64(-569322218183730892), np.int64(2424381466524517235), np.int64(6472331784294749716), np.int64(7029834616968294970), np.int64(-5968239566051821631)]"
-264519121623606417,"[np.int64(966067567430037498), np.int64(-4615575698508618335), np.int64(1433393829724383645), np.int64(-6739959707791598779), np.int64(3294074907209583622)]"
